"Species","Tissue Class","Tissue Type","Cancer","Cell name","Cell marker","Source","Supports","Detail"
"Human","Lymph node","Lymph node","Normal cell","Follicular helper (Tfh) T cell","BCL6","Experiment","1","DETAIL"
"Human","Lymphoid tissue","Lymph node","Cancer cell","T follicular helper(Tfh) cell","BCL6","Experiment","1","DETAIL"
"Human","Lymph node","Lymph node","Normal cell","B cell","BOB-1","Experiment","1","DETAIL"
"Human","Lymph node","Lymph node","Cancer cell","Cytotoxic T cell","CCL4/5","Experiment","1","DETAIL"
"Human","Lymphoid tissue","Lymph node","Cancer cell","T helper 17(Th17) cell","CCR4","Experiment","1","DETAIL"
"Human","Lymphoid tissue","Lymph node","Cancer cell","Naive T(Th0) cell","CCR7","Experiment","1","DETAIL"
"Human","Lymph node","Lymph node","Normal cell","Follicular helper (Tfh) T cell","CD10","Experiment","1","DETAIL"
"Human","Lymph node","Lymph node","Normal cell","Pericyte","CD146","Experiment","1","DETAIL"
"Human","Lymphoid tissue","Lymph node","Cancer cell","T helper 17(Th17) cell","CD161","Experiment","1","DETAIL"
"Human","Lymphoid tissue","Lymph node","Cancer cell","B cell","CD19","Experiment","1","DETAIL"
"Human","Lymph node","Lymph node","Normal cell","B cell","CD19","Experiment","3","DETAIL"
"Human","Lymph node","Lymph node","Normal cell","Langerhans cell","CD1A","Experiment","1","DETAIL"
"Human","Lymph node","Lymph node","Normal cell","T cell","CD2","Experiment","2","DETAIL"
"Human","Lymph node","Lymph node","Cancer cell","B cell","CD20","Experiment","1","DETAIL"
"Human","Lymph node","Lymph node","Normal cell","B cell","CD20","Experiment","3","DETAIL"
"Human","Lymph node","Lymph node","Normal cell","Langerhans cell","CD207","Experiment","1","DETAIL"
"Human","Lymph node","Lymph node","Normal cell","B cell","CD21","Experiment","3","DETAIL"
"Human","Lymph node","Lymph node","Normal cell","B cell","CD23","Experiment","2","DETAIL"
"Human","Lymphoid tissue","Lymph node","Cancer cell","Activated T cell","CD25","Experiment","1","DETAIL"
"Human","Lymph node","Lymph node","Cancer cell","CD4+ T cell","CD26","Experiment","1","DETAIL"
"Human","Lymph node","Lymph node","Normal cell","B cell","CD27","Experiment","1","DETAIL"
"Human","Lymph node","Lymph node","Normal cell","Lymph node cell","CD27","Experiment","1","DETAIL"
"Human","Lymph node","Lymph node","Cancer cell","Regulatory T(Treg) cell","CD3","Experiment","1","DETAIL"
"Human","Lymphoid tissue","Lymph node","Cancer cell","T cell","CD3","Experiment","3","DETAIL"
"Human","Lymph node","Lymph node","Normal cell","T cell","CD3","Experiment","3","DETAIL"
"Human","Lymph node","Lymph node","Cancer cell","T follicular helper(Tfh) cell","CD3","Experiment","1","DETAIL"
"Human","Lymph node","Lymph node","Cancer cell","T helper(Th) cell","CD3","Experiment","1","DETAIL"
"Human","Lymph node","Lymph node","Cancer cell","Human rheumatoid synovial cell(HRSC)","CD30","Experiment","1","DETAIL"
"Human","Lymph node","Lymph node","Cancer cell","Endothelial cell","CD31","Experiment","1","DETAIL"
"Human","Lymph node","Lymph node","Normal cell","Lymphatic endothelial cell","CD31","Experiment","1","DETAIL"
"Human","Lymph node","Lymph node","Normal cell","B cell","CD32","Experiment","1","DETAIL"
"Human","Lymph node","Lymph node","Cancer cell","Endothelial cell","CD34","Experiment","1","DETAIL"
"Human","Lymph node","Lymph node","Normal cell","Endothelial cell","CD34","Experiment","1","DETAIL"
"Human","Lymph node","Lymph node","Normal cell","Lymphatic endothelial cell","CD34","Experiment","1","DETAIL"
"Human","Lymph node","Lymph node","Normal cell","Progenitor cell","CD34","Experiment","1","DETAIL"
"Human","Lymph node","Lymph node","Normal cell","Stromal cell","CD34","Experiment","1","DETAIL"
"Human","Lymph node","Lymph node","Cancer cell","CD4+ T cell","CD38","Experiment","1","DETAIL"
