,0,1,2
0,CD4 Memory,CD4+ Central Memory T,CD4 TCM
1,CD4 Naive,CD4+ Naive T,CD4 Naive
2,CD8 Naive,CD8+ Naive T,CD8 Naive
3,CD4 Naive,CD4+ Naive T,CD4 Naive
4,CD4 Naive,CD8+ Naive T,CD8 Naive
5,CD4 Memory,CD4+ Central Memory T,CD4 TCM
6,CD16+ Monocytes,Dendritic Cells,CD16 Mono
7,CD8 Naive,CD8+ Naive T,CD8 Naive
8,NK cell,NK cell,NK
9,CD4 Naive,CD4+ Naive T,CD4 Naive
10,CD4 Memory,CD4+ Naive T,CD4 Naive
11,NK cell,NK cell,NK
12,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
13,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
14,CD4 Memory,CD4+ Naive T,CD4 Naive
15,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
16,CD16+ Monocytes,Dendritic Cells,CD16 Mono
17,NK cell,NK cell,NK
18,CD8 Naive,CD8+ Naive T,CD8 Naive
19,CD4 Naive,CD4+ Naive T,CD4 Naive
20,CD16+ Monocytes,Dendritic Cells,CD16 Mono
21,Dendritic cell,Dendritic Cells,cDC2
22,CD4 Naive,CD4+ Naive T,CD4 Naive
23,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
24,CD8 effector,CD8+ Effector Memory T,CD8 TEM
25,CD4 Naive,CD4+ Naive T,CD4 Naive
26,CD4 Naive,CD4+ Naive T,CD4 Naive
27,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
28,,CD4+ Naive T,CD4 Naive
29,CD4 Naive,CD4+ Naive T,CD4 Naive
30,CD4 Naive,CD8+ Naive T,CD8 Naive
31,CD4 Memory,CD4+ Naive T,CD4 Naive
32,CD4 Naive,CD4+ Naive T,CD4 Naive
33,CD8 Naive,CD8+ Naive T,CD8 Naive
34,CD4 Naive,CD4+ Naive T,CD4 Naive
35,CD4 Naive,CD4+ Naive T,CD4 Naive
36,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
37,CD4 Memory,CD4+ Central Memory T,CD4 TCM
38,B cell progenitor,Dendritic Cells,B intermediate
39,CD8 Naive,CD8+ Naive T,CD8 Naive
40,CD4 Naive,CD4+ Naive T,CD4 Naive
41,CD8 Naive,CD8+ Naive T,CD8 Naive
42,B cell progenitor,Dendritic Cells,B intermediate
43,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
44,CD4 Memory,CD4+ Central Memory T,CD4 TCM
45,CD4 Naive,CD4+ Naive T,CD4 Naive
46,NK cell,NK cell,NK
47,B cell progenitor,CD14+ Monocytes,CD14 Mono
48,CD8 Naive,CD8+ Naive T,CD8 Naive
49,CD8 Naive,CD8+ Naive T,CD8 Naive
50,CD16+ Monocytes,Dendritic Cells,CD16 Mono
51,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
52,CD4 Naive,CD4+ Naive T,CD4 Naive
53,CD4 Naive,CD4+ Naive T,CD4 Naive
54,CD4 Memory,CD4+ Naive T,CD4 Naive
55,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
56,CD8 Naive,CD8+ Naive T,CD8 Naive
57,CD8 Naive,CD8+ Naive T,CD8 Naive
58,B cell progenitor,pDC,Plasmablast
59,CD8 Naive,CD8+ Naive T,CD8 Naive
60,CD4 Memory,CD4+ Central Memory T,CD4 TCM
61,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
62,CD4 Memory,CD4+ Central Memory T,CD4 TCM
63,CD8 Naive,CD8+ Naive T,CD8 Naive
64,CD4 Memory,CD4+ Naive T,CD4 Naive
65,Double negative T cell,CD8+ Effector Memory T,CD4 TEM
66,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
67,CD4 Memory,CD4+ Central Memory T,CD4 TCM
68,B cell progenitor,Dendritic Cells,B intermediate
69,CD4 Memory,CD4+ Central Memory T,CD4 TCM
70,CD8 effector,CD8+ Effector Memory T,CD8 TEM
71,,CD14+ Monocytes,CD14 Mono
72,CD8 Naive,CD8+ Naive T,CD8 Naive
73,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
74,NK cell,NK cell,NK
75,NK cell,NK cell,NK
76,CD4 Memory,CD4+ Naive T,CD4 Naive
77,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
78,CD14+ Monocytes,Dendritic Cells,CD16 Mono
79,CD8 Naive,CD8+ Naive T,CD8 Naive
80,B cell progenitor,Dendritic Cells,B intermediate
81,CD8 Naive,CD8+ Effector Memory T,CD8 TEM
82,CD4 Naive,CD4+ Naive T,CD4 Naive
83,CD8 effector,CD8+ Effector Memory T,CD8 TEM
84,pre-B cell,Dendritic Cells,B naive
85,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
86,CD14+ Monocytes,Dendritic Cells,CD16 Mono
87,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
88,CD16+ Monocytes,Dendritic Cells,CD16 Mono
89,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
90,CD4 Naive,CD4+ Naive T,CD4 Naive
91,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
92,CD4 Memory,CD4+ Central Memory T,CD4 TCM
93,CD8 effector,CD8+ Effector Memory T,CD8 TEM
94,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
95,CD8 Naive,CD8+ Naive T,CD8 Naive
96,CD8 Naive,CD8+ Naive T,CD8 Naive
97,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
