DataSet,Silhouette Score
RNA Train,0.045073677
RNA Train,0.049903292
RNA Train,0.052173883
RNA Train,0.048970036
RNA Train,0.040466752
RNA Train,0.04675039
RNA Train,0.04957438
RNA Train,0.044451296
RNA Train,0.04449149
RNA Train,0.038587622
RNA Test,0.068508096
RNA Test,0.06688278
RNA Test,0.06794983
RNA Test,0.07105924
RNA Test,0.0684115
RNA Test,0.07052906
RNA Test,0.07293384
RNA Test,0.07046394
RNA Test,0.06421581
RNA Test,0.066062234
COMB Train,0.045812782
COMB Train,0.053365253
COMB Train,0.05321987
COMB Train,0.05193148
COMB Train,0.047069114
COMB Train,0.046999536
COMB Train,0.05123202
COMB Train,0.043410953
COMB Train,0.049066626
COMB Train,0.04939619
COMB Test,0.09482742
COMB Test,0.09301918
COMB Test,0.092575684
COMB Test,0.09828541
COMB Test,0.09317103
COMB Test,0.09925238
COMB Test,0.09676451
COMB Test,0.09778335
COMB Test,0.0933163
COMB Test,0.095068544
