,B intermediate,B naive,NK
0,0.0859375,0.078125,0.015625
1,0.1015625,0.0859375,0.0234375
2,0.046875,0.046875,0.0
3,0.0703125,0.0703125,0.0078125
4,0.140625,0.140625,0.0
5,0.1328125,0.1328125,0.0078125
6,0.125,0.1171875,0.015625
7,0.140625,0.1328125,0.0078125
8,0.109375,0.109375,0.0
9,0.1171875,0.1171875,0.03125
10,0.0859375,0.078125,0.015625
11,0.0625,0.0625,0.0078125
12,0.09375,0.09375,0.015625
13,0.0625,0.0625,0.0078125
14,0.0859375,0.078125,0.0078125
15,0.109375,0.1015625,0.0078125
16,0.109375,0.109375,0.015625
17,0.1171875,0.109375,0.0078125
18,0.09375,0.078125,0.03125
19,0.1328125,0.125,0.0234375
20,0.1015625,0.09375,0.0078125
21,0.078125,0.078125,0.015625
22,0.1328125,0.1328125,0.0078125
23,0.0859375,0.0703125,0.0234375
24,0.0546875,0.0546875,0.0078125
25,0.125,0.1171875,0.0234375
26,0.1328125,0.1171875,0.015625
27,0.171875,0.171875,0.0
28,0.1484375,0.1484375,0.0078125
29,0.109375,0.109375,0.0
30,0.0546875,0.0546875,0.0
31,0.0625,0.0625,0.0
32,0.09375,0.0859375,0.0078125
33,0.09375,0.09375,0.0234375
34,0.0703125,0.0625,0.0234375
35,0.09375,0.0859375,0.0078125
36,0.09375,0.0859375,0.0078125
37,0.125,0.125,0.0078125
38,0.0859375,0.0859375,0.0
39,0.0859375,0.0859375,0.0
40,0.1171875,0.1015625,0.015625
41,0.0859375,0.078125,0.015625
42,0.0859375,0.0625,0.0234375
43,0.1015625,0.1015625,0.0078125
44,0.09375,0.0859375,0.0078125
45,0.0703125,0.0703125,0.0078125
46,0.078125,0.0703125,0.0078125
47,0.125,0.1171875,0.015625
48,0.1171875,0.109375,0.0234375
49,0.1015625,0.09375,0.0078125
50,0.0859375,0.0859375,0.0
51,0.046875,0.046875,0.0
52,0.078125,0.078125,0.0
53,0.0390625,0.0390625,0.0078125
54,0.1015625,0.09375,0.0234375
55,0.09375,0.09375,0.0
56,0.0625,0.0625,0.0
57,0.0625,0.0625,0.0
