,B intermediate,B naive,NK
0,0.0703125,0.0546875,0.015625
1,0.1171875,0.09375,0.046875
2,0.0703125,0.0703125,0.0234375
3,0.125,0.109375,0.0390625
4,0.09375,0.0703125,0.0546875
5,0.09375,0.078125,0.015625
6,0.09375,0.09375,0.03125
7,0.125,0.109375,0.03125
8,0.09375,0.09375,0.03125
9,0.140625,0.109375,0.03125
10,0.0703125,0.0625,0.0546875
11,0.0703125,0.0625,0.046875
12,0.09375,0.0859375,0.0234375
13,0.0625,0.0546875,0.015625
14,0.0625,0.0546875,0.03125
15,0.09375,0.0859375,0.0234375
16,0.09375,0.0625,0.0078125
17,0.078125,0.0703125,0.046875
18,0.0703125,0.046875,0.0
19,0.109375,0.1015625,0.046875
20,0.09375,0.078125,0.015625
21,0.0859375,0.0625,0.0078125
22,0.1171875,0.0625,0.03125
23,0.09375,0.0625,0.0078125
24,0.09375,0.0859375,0.046875
25,0.1640625,0.1640625,0.0390625
26,0.125,0.1015625,0.03125
27,0.09375,0.09375,0.0234375
28,0.1015625,0.078125,0.046875
29,0.125,0.1015625,0.046875
30,0.0859375,0.0625,0.03125
31,0.0625,0.0625,0.015625
32,0.0546875,0.03125,0.03125
33,0.0703125,0.0546875,0.0234375
34,0.0625,0.0546875,0.0234375
35,0.0703125,0.0625,0.0078125
36,0.0859375,0.078125,0.0078125
37,0.09375,0.0625,0.0390625
38,0.09375,0.078125,0.0390625
39,0.0625,0.0546875,0.015625
40,0.15625,0.109375,0.046875
41,0.0390625,0.0234375,0.046875
42,0.0859375,0.078125,0.03125
43,0.140625,0.1328125,0.046875
44,0.0859375,0.078125,0.015625
45,0.0625,0.0625,0.015625
46,0.0859375,0.0703125,0.015625
47,0.0859375,0.0625,0.0546875
48,0.1328125,0.1171875,0.0234375
49,0.0859375,0.046875,0.0390625
50,0.0859375,0.0859375,0.0546875
51,0.15625,0.125,0.03125
52,0.09375,0.0625,0.015625
53,0.0546875,0.03125,0.015625
54,0.078125,0.0546875,0.0078125
55,0.03125,0.0234375,0.015625
56,0.0859375,0.078125,0.0703125
57,0.09375,0.0625,0.0234375
58,0.109375,0.09375,0.0234375
59,0.1171875,0.1015625,0.0390625
60,0.1015625,0.078125,0.03125
61,0.1015625,0.0703125,0.03125
62,0.0859375,0.0703125,0.0078125
63,0.078125,0.078125,0.0
64,0.109375,0.078125,0.0234375
65,0.1328125,0.1171875,0.0234375
66,0.109375,0.1015625,0.046875
67,0.109375,0.1015625,0.0390625
68,0.0703125,0.0546875,0.03125
69,0.09375,0.078125,0.0546875
70,0.1171875,0.09375,0.015625
71,0.15625,0.140625,0.0625
72,0.0703125,0.046875,0.0078125
73,0.1015625,0.1015625,0.0234375
74,0.0625,0.0546875,0.0078125
75,0.078125,0.0390625,0.0390625
76,0.09375,0.078125,0.046875
77,0.0703125,0.0625,0.03125
78,0.0859375,0.078125,0.015625
79,0.0625,0.046875,0.0234375
80,0.0703125,0.0546875,0.015625
81,0.0546875,0.03125,0.0390625
82,0.109375,0.0859375,0.03125
83,0.0625,0.0546875,0.0234375
84,0.1015625,0.0859375,0.0390625
85,0.125,0.1015625,0.0
86,0.0703125,0.0625,0.0234375
87,0.1328125,0.1171875,0.03125
88,0.0703125,0.0703125,0.0234375
89,0.0546875,0.0390625,0.0234375
90,0.125,0.1171875,0.03125
91,0.1015625,0.0859375,0.0234375
92,0.0546875,0.046875,0.0078125
93,0.0859375,0.03125,0.0078125
94,0.1015625,0.1015625,0.03125
95,0.109375,0.0859375,0.0546875
96,0.109375,0.078125,0.0546875
97,0.0703125,0.0625,0.015625
98,0.09375,0.0859375,0.03125
99,0.09375,0.09375,0.0078125
100,0.09375,0.0703125,0.03125
101,0.109375,0.09375,0.046875
102,0.1015625,0.09375,0.03125
103,0.0546875,0.0390625,0.0234375
104,0.0625,0.0546875,0.0078125
105,0.1015625,0.078125,0.03125
106,0.0546875,0.0390625,0.0078125
107,0.09375,0.0625,0.0234375
108,0.0546875,0.0546875,0.0078125
109,0.078125,0.0703125,0.015625
110,0.0546875,0.0390625,0.0
111,0.109375,0.0859375,0.03125
112,0.125,0.1171875,0.015625
113,0.1171875,0.109375,0.0390625
114,0.078125,0.0625,0.0078125
115,0.109375,0.0859375,0.0234375
116,0.109375,0.09375,0.0078125
117,0.125,0.109375,0.0234375
118,0.09375,0.09375,0.0390625
119,0.078125,0.0703125,0.0390625
120,0.09375,0.0859375,0.03125
121,0.078125,0.0703125,0.046875
122,0.125,0.1015625,0.015625
123,0.125,0.09375,0.0234375
124,0.078125,0.0625,0.0546875
125,0.125,0.1171875,0.0234375
126,0.078125,0.0703125,0.03125
127,0.078125,0.0625,0.015625
128,0.1015625,0.0859375,0.0078125
129,0.078125,0.078125,0.0
130,0.109375,0.1015625,0.0234375
131,0.1328125,0.1328125,0.0546875
132,0.0546875,0.046875,0.0234375
133,0.09375,0.0546875,0.046875
134,0.046875,0.046875,0.0234375
135,0.0703125,0.0546875,0.0390625
136,0.078125,0.046875,0.0234375
137,0.046875,0.0390625,0.0234375
138,0.0703125,0.0546875,0.015625
139,0.0859375,0.0625,0.0234375
140,0.078125,0.0703125,0.0234375
141,0.125,0.09375,0.015625
142,0.1015625,0.1015625,0.0390625
143,0.09375,0.0859375,0.0234375
144,0.1015625,0.0859375,0.0390625
145,0.1015625,0.09375,0.046875
146,0.046875,0.0234375,0.0078125
147,0.0859375,0.0546875,0.03125
148,0.078125,0.0703125,0.03125
149,0.1015625,0.0546875,0.0234375
150,0.09375,0.0703125,0.015625
151,0.0546875,0.0546875,0.0234375
152,0.1171875,0.109375,0.0390625
153,0.1015625,0.078125,0.046875
154,0.0859375,0.046875,0.03125
155,0.109375,0.078125,0.0078125
156,0.09375,0.0859375,0.0625
157,0.09375,0.09375,0.0546875
158,0.046875,0.0390625,0.0078125
159,0.0625,0.0546875,0.03125
160,0.1015625,0.078125,0.0078125
161,0.0859375,0.0625,0.0234375
162,0.109375,0.0859375,0.03125
163,0.0859375,0.078125,0.0234375
164,0.1171875,0.0859375,0.0625
165,0.09375,0.0625,0.046875
166,0.125,0.1015625,0.0234375
167,0.0859375,0.0703125,0.0234375
168,0.1015625,0.09375,0.03125
169,0.0859375,0.078125,0.0546875
170,0.109375,0.0703125,0.046875
171,0.046875,0.046875,0.0234375
172,0.1015625,0.09375,0.03125
173,0.1171875,0.1015625,0.0234375
174,0.09375,0.09375,0.0234375
175,0.109375,0.09375,0.015625
176,0.046875,0.0390625,0.03125
177,0.1015625,0.0859375,0.0703125
178,0.046875,0.0390625,0.0625
179,0.140625,0.140625,0.0546875
180,0.140625,0.109375,0.015625
181,0.140625,0.1328125,0.03125
182,0.0859375,0.0703125,0.03125
183,0.1171875,0.1171875,0.03125
184,0.140625,0.1171875,0.03125
185,0.0703125,0.0625,0.015625
186,0.078125,0.0703125,0.03125
187,0.046875,0.0390625,0.0
188,0.1015625,0.0859375,0.0546875
189,0.1171875,0.1171875,0.03125
190,0.125,0.1015625,0.046875
191,0.1171875,0.0625,0.0234375
192,0.0859375,0.0625,0.0234375
193,0.0625,0.046875,0.0
194,0.1171875,0.09375,0.0078125
195,0.0859375,0.0703125,0.0546875
196,0.1015625,0.0703125,0.015625
197,0.0859375,0.0625,0.03125
198,0.1328125,0.09375,0.0390625
199,0.09375,0.078125,0.0390625
200,0.1328125,0.1171875,0.015625
201,0.125,0.0859375,0.015625
202,0.078125,0.0625,0.03125
203,0.0546875,0.03125,0.03125
204,0.0625,0.0546875,0.03125
205,0.125,0.1171875,0.0390625
206,0.046875,0.046875,0.015625
207,0.09375,0.0625,0.0078125
208,0.109375,0.09375,0.0390625
209,0.09375,0.078125,0.03125
210,0.0859375,0.0625,0.0625
211,0.0546875,0.0546875,0.015625
212,0.1015625,0.078125,0.015625
213,0.0703125,0.03125,0.015625
214,0.1015625,0.09375,0.046875
215,0.078125,0.078125,0.03125
216,0.1015625,0.0859375,0.0078125
217,0.1484375,0.1328125,0.0390625
218,0.046875,0.0390625,0.0234375
219,0.1171875,0.1171875,0.015625
220,0.1171875,0.1015625,0.046875
221,0.1015625,0.0703125,0.015625
222,0.1015625,0.078125,0.03125
223,0.0859375,0.078125,0.0078125
224,0.0859375,0.0703125,0.0234375
225,0.1015625,0.0859375,0.0390625
226,0.1328125,0.1171875,0.0390625
227,0.0546875,0.0390625,0.03125
228,0.0703125,0.0546875,0.015625
229,0.0703125,0.0390625,0.0390625
230,0.09375,0.078125,0.046875
231,0.1171875,0.1015625,0.0234375
232,0.0546875,0.046875,0.0234375
233,0.0546875,0.0546875,0.0234375
234,0.1171875,0.109375,0.0390625
235,0.1171875,0.1015625,0.03125
236,0.109375,0.0859375,0.0390625
237,0.0859375,0.078125,0.015625
238,0.109375,0.078125,0.0234375
239,0.078125,0.0703125,0.03125
240,0.0625,0.0546875,0.03125
241,0.1015625,0.0625,0.0234375
242,0.1015625,0.078125,0.0390625
243,0.0859375,0.0703125,0.0234375
244,0.1171875,0.109375,0.0390625
245,0.0859375,0.0703125,0.0078125
246,0.109375,0.09375,0.0078125
247,0.0859375,0.078125,0.046875
248,0.0546875,0.0546875,0.03125
249,0.109375,0.1015625,0.03125
250,0.09375,0.0859375,0.015625
251,0.0703125,0.0390625,0.015625
252,0.0859375,0.0859375,0.0390625
253,0.09375,0.0859375,0.0234375
254,0.0703125,0.0625,0.0234375
255,0.1171875,0.1015625,0.046875
256,0.09375,0.0625,0.0234375
257,0.140625,0.1171875,0.03125
258,0.0703125,0.0625,0.0234375
259,0.078125,0.0625,0.015625
260,0.0859375,0.078125,0.03125
261,0.0703125,0.0546875,0.0234375
262,0.046875,0.0390625,0.03125
263,0.1328125,0.09375,0.0390625
264,0.09375,0.09375,0.0390625
265,0.1171875,0.1171875,0.03125
266,0.109375,0.09375,0.046875
267,0.0859375,0.0703125,0.015625
268,0.109375,0.09375,0.03125
269,0.078125,0.078125,0.0078125
270,0.109375,0.0703125,0.0390625
271,0.1171875,0.09375,0.0390625
272,0.1171875,0.09375,0.015625
273,0.0859375,0.0703125,0.015625
274,0.078125,0.078125,0.03125
275,0.0546875,0.0390625,0.015625
276,0.109375,0.0859375,0.0390625
